IDTimbratura_Timb,Tag_Timb,CodDip_Timb,TimeIn_Timb,TimeOut_Timb,OraIn_Timb,MinIn_Timb,OraInRic_Timb,MinInRic_Timb,OraOut_Timb,MinOut_Timb,OraOutRic_Timb,MinOutRic_Timb,OreLav_Timb,MinLav_Timb,Export_Timb,Omessa_Timb,InserMan_Timb,Validata_Timb,BollatriceNum_Timb
904,d4531d04,1008,2024-01-12 08:24:15,2024-01-12 17:44:18,8.0,24.0,8,30,17.0,44.0,17,30,8.0,0,False,False,False,True,1
893,d4531d04,1008,2024-01-11 08:30:50,2024-01-11 18:15:37,8.0,30.0,8,30,18.0,15.0,18,30,9.0,0,False,False,False,True,1
887,d4531d04,1008,2024-01-10 08:24:31,2024-01-10 17:51:18,8.0,24.0,8,30,17.0,51.0,18,0,8.5,0,False,False,False,True,1
879,d4531d04,1008,2024-01-09 08:34:50,2024-01-09 17:57:05,8.0,34.0,8,30,17.0,57.0,18,0,8.5,0,False,False,False,True,1
860,d4531d04,1008,2024-01-08 08:36:58,2024-01-08 18:19:16,8.0,36.0,8,30,18.0,19.0,18,30,9.0,0,False,False,False,True,1
855,d4531d04,1008,2024-01-05 08:22:08,2024-01-05 17:55:49,8.0,22.0,8,30,17.0,55.0,18,0,8.5,0,False,False,False,True,1
850,d4531d04,1008,2024-01-04 08:26:23,2024-01-04 18:08:47,8.0,26.0,8,30,18.0,8.0,18,0,8.5,0,False,False,False,True,1
837,d4531d04,1008,2024-01-03 08:21:25,2024-01-03 17:28:22,8.0,21.0,8,30,17.0,28.0,17,30,8.0,0,False,False,False,True,1
723,d4531d04,1008,2023-12-13 08:23:02,2023-12-13 17:54:03,8.0,23.0,8,30,17.0,54.0,18,0,8.5,0,False,False,False,True,1
718,d4531d04,1008,2023-12-12 08:31:24,2023-12-12 17:47:19,8.0,31.0,8,30,17.0,47.0,18,0,8.5,0,False,False,False,True,1
524,,1008,2023-11-16 08:27:10,2023-11-16 17:56:57,8.0,27.0,8,30,17.0,56.0,18,0,8.5,0,False,False,False,True,0
518,d4531d04,1008,2023-11-15 08:27:10,2023-11-15 17:34:16,8.0,27.0,8,30,17.0,34.0,17,30,8.0,0,False,False,False,True,1
502,d4531d04,1008,2023-11-14 08:27:24,2023-11-14 17:32:13,8.0,27.0,8,30,17.0,32.0,17,30,8.0,0,False,False,False,True,1
500,d4531d04,1008,2023-10-02 08:56:09,2023-10-02 19:02:37,8.0,56.0,9,0,19.0,2.0,19,0,9.0,0,False,False,False,True,1
488,d4531d04,1008,2023-09-27 08:57:45,2023-09-27 18:06:35,8.0,57.0,9,0,18.0,6.0,18,0,8.0,0,False,False,False,True,1
482,d4531d04,1008,2023-09-26 09:09:30,2023-09-26 18:20:45,9.0,9.0,9,0,18.0,20.0,18,30,8.5,0,False,False,False,True,1
475,d4531d04,1008,2023-09-25 08:23:26,2023-09-25 17:50:12,8.0,23.0,8,30,17.0,50.0,18,0,8.5,0,False,False,False,True,1
470,d4531d04,1008,2023-09-22 08:54:21,2023-09-22 18:41:00,8.0,54.0,9,0,18.0,41.0,18,30,8.5,0,False,False,False,True,1
